"ISO","Date","from","to","Duration","Type","bpm-Avg.","bpm-%","bpm-lo","bpm-hi","bpm-90%+-%","90%+-mins","bpm-80-90%-%","80-90%-mins","bpm-70-80%-%","70-80%-mins","bpm-60-70%-%","60-70%-mins","bpm-50-60%-%","50-60%-mins","rpe","Load","Cals","Cals/h","km","km/h","/km"
"2023-07-19T11:53:49-04:00","Wednesday, Jul 19","11:53 AM","12:23 PM","00:30:04","Running","155.9","81.4","110.0","164.0","","","79.5","00:23:53","19.6","00:05:54","0.7","00:00:11","0.2","00:00:03","8","241","289.8","578.3","3.81","7.6","00:07:53"
"2023-07-20T08:45:41-04:00","Thursday, Jul 20","8:45 AM","9:22 AM","00:36:56","Running","157.3","82.1","88.0","170.0","","","80.3","00:29:39","13.1","00:04:51","4.9","00:01:48","0.5","00:00:11","8","296","399.0","648.0","5.06","8.2","00:07:18"
"2023-07-21T08:50:54-04:00","Friday, Jul 21","8:50 AM","9:22 AM","00:31:31","Running","152.8","79.7","102.0","181.0","2.7","00:00:50","50.5","00:15:54","43.5","00:13:41","2.9","00:00:53","0.5","00:00:09","7","221","302.5","575.7","4.08","7.8","00:07:43"
"2023-07-24T10:59:38-04:00","Monday, Jul 24","10:59 AM","12:12 PM","01:12:34","Cycling","135.6","70.8","77.0","188.0","3.0","00:02:08","9.9","00:07:10","32.3","00:23:28","50.3","00:36:32","3.9","00:02:51","6","435","277.1","229.1","17.31","14.3","00:04:11"
"2023-07-25T13:38:31-04:00","Tuesday, Jul 25","1:38 PM","3:55 PM","02:16:52","Cycling","143.6","74.9","60.0","182.0","2.1","00:02:54","18.7","00:25:34","54.9","01:15:12","23.8","00:32:36","0.4","00:00:31","6","821","661.4","290.0","35.16","15.4","00:03:53"
"2023-07-26T09:07:07-04:00","Wednesday, Jul 26","9:07 AM","9:44 AM","00:37:24","Running","157.0","82.0","94.0","168.0","","","85.1","00:31:50","12.3","00:04:35","1.3","00:00:29","1.1","00:00:24","8","299","411.8","660.6","5.38","8.6","00:06:57"
"2023-07-26T17:25:26-04:00","Wednesday, Jul 26","5:25 PM","8:12 PM","02:46:52","Golf","127.3","66.4","99.0","165.0","","","2.5","00:04:12","22.4","00:37:25","61.7","01:42:54","13.4","00:22:20","6","959","1363.8","490.4","4.50","1.6","00:37:07"
"2023-07-28T08:44:26-04:00","Friday, Jul 28","8:44 AM","9:44 AM","01:00:31","Running","145.9","76.2","104.0","155.0","","","0.6","00:00:20","93.6","00:56:37","5.3","00:03:13","0.5","00:00:18","7","424","598.1","593.0","7.49","7.4","00:08:04"
"2023-07-29T15:10:47-04:00","Saturday, Jul 29","3:10 PM","3:41 PM","00:31:09","Running","150.5","78.6","91.0","163.0","","","44.0","00:13:41","49.7","00:15:29","5.0","00:01:32","0.8","00:00:14","7","218","364.6","702.1","4.31","8.3","00:07:13"
"2023-07-30T11:50:55-04:00","Sunday, Jul 30","11:50 AM","12:20 PM","00:29:48","Running","151.4","79.0","104.0","175.0","0.8","00:00:13","54.2","00:16:09","36.3","00:10:49","6.5","00:01:55","2.3","00:00:40","7","209","315.5","634.9","4.00","8.0","00:07:27"
"2023-07-31T09:58:29-04:00","Monday, Jul 31","9:58 AM","10:51 AM","00:53:18","Running","146.1","76.2","94.0","160.0","","","3.3","00:01:45","90.9","00:48:26","3.7","00:01:57","1.7","00:00:55","7","373","584.8","658.3","7.04","7.9","00:07:34"
"2023-07-31T14:54:55-04:00","Monday, Jul 31","2:54 PM","4:13 PM","01:18:20","Cycling","134.9","70.4","101.0","159.0","","","1.5","00:01:11","50.6","00:39:38","46.2","00:36:11","1.7","00:01:18","6","470","579.7","444.0","24.80","19.0","00:03:09"
"2023-08-01T16:04:41-04:00","Tuesday, Aug 1","4:04 PM","5:45 PM","01:41:01","Cycling","147.1","76.8","67.0","181.0","3.2","00:03:15","27.6","00:27:51","54.1","00:54:40","13.3","00:13:23","1.8","00:01:49","7","707","828.8","492.2","35.03","20.8","00:02:53"
"2023-08-02T08:56:13-04:00","Wednesday, Aug 2","8:56 AM","9:34 AM","00:37:55","Running","154.5","80.7","91.0","166.0","","","70.3","00:26:40","27.4","00:10:23","1.7","00:00:38","0.3","00:00:06","7","265","441.3","698.1","5.12","8.1","00:07:24"
"2023-08-08T09:40:42-04:00","Tuesday, Aug 8","9:40 AM","10:20 AM","00:39:24","Running","153.9","80.3","72.0","187.0","7.8","00:03:04","54.2","00:21:21","29.8","00:11:44","6.4","00:02:30","0.3","00:00:07","7","276","480.4","731.3","5.80","8.8","00:06:47"
