"Date","Type","Moving Time","Distance (km)","Elevation Gain (m)","Avg Speed (kph)","Avg Pace (/km)","Calories","Grade Adj. Pace (/km)","Best 20min Pace (/km)","Avg HR (bpm)","Max HR (bpm)","Hrss","HRSS / h","Best 20min HR (bpm)","Best 60min HR (bpm)","σ HR (bpm)","Avg Watts (w)","Avg W / Kg (w/kg)","Normalized Power® (w)","NP® / Kg (w/kg)","Best 20min Power (w)","Delete"
"2023-08-02T12:56:14.000Z","Run","37:55","5.1","9","8.1","07:24","441","07:25","07:20","155","166","41","66","157","-","6","177","2.36","178","2.38","178",""
"2023-08-01T20:04:42.000Z","Ride","01:36:44","35","130","21.7","02:46","828","-","02:17","148","181","88","57","160","149","12","90","1.2","146","1.94","121",""
"2023-07-31T18:54:55.000Z","Ride","01:14:54","24.8","101","19.9","03:01","579","-","02:35","138","186","52","43","147","142","12","74","1","130","1.76","99",""
"2023-07-31T13:58:36.000Z","Run","53:18","7","15","7.9","07:34","584","07:34","07:19","146","160","47","54","150","-","7","172","2.32","173","2.33","176",""
"2023-07-30T15:51:01.000Z","Run","29:48","4","3","8","07:27","315","07:30","07:18","152","175","30","61","156","-","11","174","2.36","178","2.4","176",""
"2023-07-29T19:10:48.000Z","Run","30:50","4.3","4","8.4","07:09","364","07:09","07:02","151","163","31","59","155","-","9","177","2.4","179","2.42","183",""
"2023-07-28T12:44:26.000Z","Run","01:00:23","7.5","30","7.4","08:04","598","08:01","07:46","146","155","53","53","150","146","6","160","2.16","161","2.17","165",""
"2023-07-26T13:07:07.000Z","Run","37:10","5.4","12","8.7","06:54","411","06:53","06:46","157","168","43","70","160","-","8","185","2.5","187","2.52","190",""
"2023-07-25T17:38:31.000Z","Ride","01:58:39","35.1","203","17.8","03:23","661","-","02:49","146","182","97","52","160","154","12","70","0.95","145","1.95","111",""
"2023-07-24T14:59:38.000Z","Ride","01:11:04","17.3","68","14.6","04:06","277","-","03:38","136","187","47","40","150","139","15","41","0.55","71","0.96","65",""
"2023-07-21T12:50:54.000Z","Run","31:27","4.1","3","7.8","07:42","302","07:42","07:27","153","181","33","63","156","-","8","166","2.24","172","2.32","173",""
"2023-07-20T12:45:41.000Z","Run","36:44","5.1","4","8.3","07:16","399","07:15","07:03","158","170","43","71","164","-","12","177","2.39","178","2.4","182",""
"2023-07-19T15:53:50.000Z","Run","29:59","3.8","3","7.6","07:53","289","07:54","07:44","156","163","34","68","158","-","5","162","2.19","164","2.22","166",""
