ISO,Duration,Type,bpm-Avg.,bpm-%,bpm-hi,Cals,Cals/h,km,km/h,/km,Date,weeknum,Weighted HR,HR/Speed,CumKM,mDuration
2023-07-19 15:53:49+00:00,0.5011111111111111,Running,155.9,81.4,164.0,289.8,578.3,3.81,7.6,0 days 00:07:53,2023-07-19,29,78.12322222222221,20.513157894736842,3.81,30.066666666666663
2023-07-20 12:45:41+00:00,0.6155555555555555,Running,157.3,82.1,170.0,399.0,648.0,5.06,8.2,0 days 00:07:18,2023-07-20,29,96.82688888888889,19.182926829268297,8.87,36.93333333333333
2023-07-21 12:50:54+00:00,0.5252777777777777,Running,152.8,79.7,181.0,302.5,575.7,4.08,7.8,0 days 00:07:43,2023-07-21,29,80.26244444444444,19.58974358974359,12.95,31.516666666666666
2023-07-26 13:07:07+00:00,0.6233333333333333,Running,157.0,82.0,168.0,411.8,660.6,5.38,8.6,0 days 00:06:57,2023-07-26,30,97.86333333333333,18.255813953488374,18.33,37.4
2023-07-28 12:44:26+00:00,1.0086111111111111,Running,145.9,76.2,155.0,598.1,593.0,7.49,7.4,0 days 00:08:04,2023-07-28,30,147.15636111111112,19.716216216216218,25.82,60.516666666666666
2023-07-29 19:10:47+00:00,0.5191666666666667,Running,150.5,78.6,163.0,364.6,702.1,4.31,8.3,0 days 00:07:13,2023-07-29,30,78.13458333333334,18.132530120481928,30.13,31.15
2023-07-30 15:50:55+00:00,0.49666666666666665,Running,151.4,79.0,175.0,315.5,634.9,4.0,8.0,0 days 00:07:27,2023-07-30,30,75.19533333333334,18.925,34.129999999999995,29.799999999999997
2023-07-31 13:58:29+00:00,0.8883333333333333,Running,146.1,76.2,160.0,584.8,658.3,7.04,7.9,0 days 00:07:34,2023-07-31,31,129.78549999999998,18.493670886075947,41.169999999999995,53.3
2023-08-02 12:56:13+00:00,0.6319444444444444,Running,154.5,80.7,166.0,441.3,698.1,5.12,8.1,0 days 00:07:24,2023-08-02,31,97.63541666666666,19.074074074074076,46.28999999999999,37.916666666666664
2023-08-08 13:40:42+00:00,0.6566666666666666,Running,153.9,80.3,187.0,480.4,731.3,5.8,8.8,0 days 00:06:47,2023-08-08,32,101.06099999999999,17.488636363636363,52.08999999999999,39.4
2023-08-09 13:01:33+00:00,0.8933333333333333,Running,148.3,77.4,157.0,553.8,619.8,6.66,7.5,0 days 00:08:02,2023-08-09,32,132.48133333333334,19.773333333333333,58.749999999999986,53.6
2023-08-11 12:17:10+00:00,0.6508333333333334,Running,148.2,77.4,161.0,434.2,667.1,5.14,7.9,0 days 00:07:35,2023-08-11,32,96.4535,18.759493670886073,63.889999999999986,39.050000000000004
2023-08-15 13:24:16+00:00,1.136388888888889,Running,151.3,79.0,177.0,792.8,697.6,9.22,8.1,0 days 00:07:23,2023-08-15,33,171.9356388888889,18.679012345679016,73.10999999999999,68.18333333333334
2023-08-17 13:13:25+00:00,0.69,Running,157.9,82.4,189.0,498.9,723.0,6.12,8.9,0 days 00:06:45,2023-08-17,33,108.951,17.741573033707866,79.22999999999999,41.4
2023-08-18 13:03:47+00:00,0.825,Running,139.7,72.9,162.0,550.8,667.5,6.64,8.0,0 days 00:07:27,2023-08-18,33,115.25249999999998,17.4625,85.86999999999999,49.5
2023-08-18 19:34:15+00:00,0.8308333333333333,Running,148.9,77.7,170.0,591.6,712.0,7.09,8.5,0 days 00:07:02,2023-08-18,33,123.71108333333333,17.51764705882353,92.96,49.85
2023-08-21 14:28:54+00:00,0.9516666666666667,Running,149.2,77.9,166.0,690.5,725.4,8.25,8.7,0 days 00:06:55,2023-08-21,34,141.98866666666666,17.149425287356323,101.21,57.1
2023-08-22 14:02:41+00:00,1.3572222222222223,Running,160.2,83.6,191.0,1008.3,742.9,12.61,9.3,0 days 00:06:27,2023-08-22,34,217.427,17.2258064516129,113.82,81.43333333333334
2023-08-24 13:36:17+00:00,0.6569444444444444,Running,147.0,76.7,218.0,417.2,635.0,5.18,7.9,0 days 00:07:36,2023-08-24,34,96.57083333333334,18.60759493670886,119.0,39.416666666666664
2023-08-24 17:03:07+00:00,1.1352777777777778,Running,153.0,79.8,171.0,847.7,746.6,10.05,8.9,0 days 00:06:46,2023-08-24,34,173.69750000000002,17.191011235955056,129.05,68.11666666666667
2023-08-25 14:21:57+00:00,0.7494444444444445,Running,143.0,74.6,151.0,557.5,743.7,6.61,8.8,0 days 00:06:48,2023-08-25,34,107.17055555555555,16.25,135.66000000000003,44.96666666666667
2023-08-28 14:19:14+00:00,0.9538888888888889,Running,136.1,71.0,150.0,647.2,678.4,8.01,8.4,0 days 00:07:08,2023-08-28,35,129.82427777777778,16.202380952380953,143.67000000000002,57.233333333333334
2023-08-29 13:40:34+00:00,1.343611111111111,Running,152.1,79.4,177.0,1032.0,768.0,12.61,9.4,0 days 00:06:23,2023-08-29,35,204.36325,16.180851063829785,156.28000000000003,80.61666666666666
2023-08-30 14:55:19+00:00,0.7730555555555556,Running,143.3,74.8,163.0,577.6,746.9,7.09,9.2,0 days 00:06:32,2023-08-30,35,110.77886111111113,15.576086956521742,163.37000000000003,46.38333333333334
2023-08-31 13:43:16+00:00,1.4322222222222223,Running,148.9,77.7,168.0,1009.6,704.8,12.2,8.5,0 days 00:07:02,2023-08-31,35,213.2578888888889,17.51764705882353,175.57000000000002,85.93333333333334
2023-09-02 14:14:15+00:00,1.2505555555555556,Running,145.1,75.8,159.0,854.4,683.1,10.2,8.2,0 days 00:07:21,2023-09-02,35,181.45561111111112,17.695121951219512,185.77,75.03333333333333
2023-09-04 14:36:58+00:00,0.7097222222222223,Running,146.0,76.2,164.0,527.6,743.4,6.59,9.3,0 days 00:06:27,2023-09-04,36,103.61944444444445,15.698924731182794,192.36,42.583333333333336
2023-09-08 14:27:32+00:00,0.8216666666666667,Running,154.4,80.6,169.0,665.9,810.1,8.07,9.8,0 days 00:06:06,2023-09-08,36,126.86533333333334,15.755102040816325,200.43,49.3
2023-09-09 15:15:43+00:00,1.6291666666666667,Running,151.2,78.9,213.0,930.9,571.4,11.05,6.8,0 days 00:08:50,2023-09-09,36,246.32999999999998,22.235294117647058,211.48000000000002,97.75
2023-09-12 17:22:52+00:00,0.7938888888888889,Running,143.7,75.0,156.0,554.3,698.2,6.63,8.3,0 days 00:07:11,2023-09-12,37,114.08183333333332,17.31325301204819,218.11,47.63333333333333
2023-09-13 16:38:36+00:00,1.2847222222222223,Running,156.3,81.6,190.0,967.2,752.8,12.76,9.9,0 days 00:06:02,2023-09-13,37,200.80208333333337,15.787878787878789,230.87,77.08333333333334
