"Duration","Distance","Latitude","Longitude","AltitudeOriginal","AltitudeCorrected","OriginalPace","HeartRate","Cadence","PowerCalculated",
"0","0","43.682963","-79.301983","127","126","837","","85","221",
"1","0","43.682968","-79.301993","127","126","797","","85","223",
"1","0","43.682979","-79.302004","127","126","275","105","85","224",
"1","0.00364","43.68299","-79.302015","127","126","275","105","85","225",
"1","0.00727","43.683001","-79.302025","127","126","798","105","84","224",
"1","0.01044","43.683011","-79.302025","127","126","775","106","84","224",
"1","0.01302","43.683027","-79.302036","127","126","752","107","84","225",
"1","0.0156","43.683038","-79.302047","127","126","732","108","84","227",
"1","0.01817","43.683049","-79.302058","127","126","713","109","83","227",
"1","0.02075","43.683065","-79.302068","127","126","694","110","83","226",
"1","0.02345","43.683076","-79.302079","127","126","684","111","83","225",
"1","0.02639","43.683086","-79.30209","127","126","674","112","83","224",
"1","0.02934","43.683097","-79.302101","127","126","659","113","84","223",
"1","0.03152","43.683108","-79.302111","127","126","633","114","84","223",
"1","0.03348","43.683119","-79.302133","127","126","609","116","85","225",
"1","0.03558","43.683124","-79.302143","127","126","547","117","85","225",
"1","0.03825","43.683129","-79.302165","127","126","488","118","86","226",
"1","0.04092","43.683129","-79.302186","127","126","455","119","86","236",
"1","0.04339","43.683129","-79.302208","127","126","481","120","86","244",
"1","0.04574","43.683129","-79.302229","127","126","509","121","86","236",
"1","0.04813","43.683129","-79.302251","127","126","522","122","86","228",
"1","0.05078","43.683129","-79.302272","127","126","525","123","85","222",
"1","0.05343","43.683135","-79.302294","127","126","527","124","85","219",
"1","0.05587","43.683135","-79.302315","127","126","528","125","85","216",
"1","0.05812","43.68314","-79.302337","127","126","529","125","84","213",
"1","0.06038","43.683145","-79.302369","127","126","514","126","84","210",
"1","0.06264","43.683151","-79.30239","127","126","487","127","84","207",
"1","0.0649","43.683151","-79.302422","127","126","463","128","85","203",
"1","0.06734","43.683145","-79.302455","127","126","457","129","85","199",
"1","0.07003","43.683135","-79.302487","127","126","451","130","85","200",
"1","0.07271","43.683129","-79.302519","127","126","448","130","85","201",
"1","0.0754","43.683119","-79.302551","127","126","446","130","86","201",
"1","0.07809","43.683119","-79.302583","127","126","445","130","85","198",
"1","0.08039","43.683113","-79.302616","127","126","451","130","83","194",
"1","0.08177","43.683119","-79.302648","127","126","458","130","81","192",
"1","0.08315","43.683129","-79.302669","127","126","464","130","79","190",
"1","0.08481","43.683145","-79.30268","127","126","468","130","78","187",
"1","0.08656","43.683161","-79.302701","127","126","471","130","76","182",
"1","0.08832","43.683178","-79.302701","127","126","475","130","74","178",
"1","0.09008","43.683194","-79.302712","127","126","480","131","73","176",
"1","0.09185","43.68321","-79.302712","127","126","484","131","73","175",
"1","0.09363","43.683231","-79.302712","127","126","488","132","73","174",
"1","0.09542","43.683247","-79.302712","127","126","493","132","73","173",
"1","0.09725","43.683263","-79.302701","127","126","494","133","73","172",
"1","0.09965","43.683279","-79.302701","127","126","494","133","73","172",
"1","0.10204","43.683296","-79.302691","127","127","495","133","73","171",
"1","0.10406","43.683312","-79.302691","127","127","499","133","74","170",
"1","0.10572","43.683328","-79.302691","127","127","503","133","75","168",
"1","0.10738","43.683344","-79.302691","127","127","506","133","76","166",
"1","0.10911","43.683365","-79.30268","127","127","509","133","77","164",
"1","0.11085","43.683376","-79.302669","127","127","512","133","79","165",
"1","0.11242","43.683392","-79.302658","127","127","520","133","80","166",
"1","0.11373","43.683403","-79.302637","127","127","529","133","81","168",
"1","0.11505","43.683408","-79.302626","127","127","533","133","82","169",
"1","0.11684","43.683414","-79.302605","127","127","530","133","83","171",
"1","0.11873","43.683419","-79.302583","127","127","527","132","83","173",
"1","0.12066","43.68343","-79.302551","127","127","524","132","84","176",
"1","0.1227","43.683435","-79.30253","127","127","521","132","84","179",
"1","0.12473","43.68344","-79.302508","127","127","517","132","85","183",
"1","0.12703","43.68344","-79.302487","127","127","514","132","86","185",
"1","0.12943","43.683446","-79.302465","127","127","511","132","85","185",
"1","0.13177","43.683451","-79.302433","127","127","508","132","84","185",
"1","0.13381","43.683456","-79.302412","127","127","506","132","83","185",
"1","0.13584","43.683456","-79.30239","127","127","505","133","82","187",
"1","0.13762","43.683462","-79.302369","127","127","507","134","81","189",
"1","0.13924","43.683467","-79.302337","127","127","509","134","80","190",
"1","0.14089","43.683473","-79.302315","127","127","509","135","79","191",
"1","0.14294","43.683478","-79.302294","127","127","507","135","80","192",
"1","0.14499","43.683483","-79.302272","127","127","505","135","81","195",
"1","0.14729","43.683494","-79.30224","127","127","491","136","82","198",
"1","0.14984","43.683499","-79.302219","127","127","477","136","84","200",
"1","0.15238","43.68351","-79.302197","127","127","471","136","85","201",
"1","0.15506","43.683515","-79.302176","127","127","471","136","86","202",
"1","0.15775","43.683526","-79.302143","127","127","470","136","88","203",
"1","0.16031","43.683532","-79.302122","127","127","467","136","88","203",
"1","0.16265","43.683537","-79.30209","127","127","464","135","87","202",
"1","0.16499","43.683548","-79.302068","127","127","462","135","86","201",
"1","0.16719","43.683553","-79.302047","127","127","461","135","85","200",
"1","0.16937","43.683564","-79.302015","127","127","460","135","84","200",
"1","0.17151","43.683569","-79.301993","127","127","461","135","83","200",
"1","0.17352","43.683574","-79.301961","127","127","464","135","82","200",
"1","0.17553","43.68358","-79.30194","127","127","466","135","82","200",
"1","0.17757","43.683585","-79.301918","127","127","466","135","83","201",
"1","0.17962","43.683591","-79.301886","127","127","466","135","83","201",
"1","0.18171","43.683596","-79.301865","127","127","467","136","84","202",
"1","0.18401","43.683601","-79.301832","127","127","468","136","84","202",
"1","0.18631","43.683607","-79.301811","127","127","469","136","85","203",
"1","0.18848","43.683612","-79.301789","127","127","469","136","85","202",
"1","0.19055","43.683617","-79.301757","127","127","469","137","85","199",
"1","0.19263","43.683617","-79.301736","127","127","469","137","85","196",
"1","0.19465","43.683623","-79.301704","127","128","468","137","85","195",
"1","0.19667","43.683628","-79.301682","127","128","468","137","85","196",
"1","0.19867","43.683634","-79.301661","127","128","469","137","85","196",
"1","0.20064","43.683639","-79.301628","127","128","470","137","84","196",
"1","0.2026","43.683644","-79.301607","127","128","471","136","84","196",
"1","0.20436","43.68365","-79.301586","127","128","473","136","84","197",
"1","0.2061","43.68365","-79.301553","127","128","475","136","84","197",
"1","0.20799","43.683655","-79.301532","127","128","474","136","84","198",
"1","0.21017","43.683655","-79.30151","127","128","474","136","84","197",
"1","0.21235","43.683655","-79.301478","127","128","472","135","84","197",
"1","0.21484","43.68366","-79.301457","127","128","468","135","84","196",
"1","0.21741","43.683666","-79.301435","127","128","464","135","84","196",
"1","0.21979","43.683671","-79.301403","127","128","466","134","83","195",
"1","0.22159","43.683676","-79.301382","127","128","469","134","83","193",
"1","0.22339","43.683682","-79.30136","127","128","471","134","83","191",
"1","0.22563","43.683693","-79.301339","127","128","469","134","83","190",
"1","0.22807","43.683703","-79.301317","127","128","467","135","82","191",
"1","0.23049","43.683709","-79.301285","127","128","466","135","82","192",
"1","0.23264","43.683719","-79.301264","127","128","466","136","82","193",
"1","0.23479","43.68373","-79.301242","127","128","466","136","82","194",
"1","0.23699","43.683741","-79.301221","127","128","466","137","83","195",
"1","0.23921","43.683746","-79.301199","127","128","466","137","83","197",
"1","0.24142","43.683757","-79.301178","127","128","468","137","84","199",
"1","0.24318","43.683762","-79.301146","127","128","471","137","84","200",
"1","0.24493","43.683773","-79.301124","127","128","474","137","85","199",
"1","0.24688","43.683778","-79.301103","127","128","476","137","86","199",
"1","0.24906","43.683784","-79.301081","127","128","478","137","86","200",
"1","0.25124","43.683789","-79.301049","127","128","481","137","85","201",
"1","0.25284","43.683794","-79.301028","127","128","487","138","84","201",
"1","0.25436","43.6838","-79.301006","127","128","492","138","84","204",
"1","0.25613","43.683805","-79.300985","127","128","491","138","83","206",
"1","0.25838","43.683811","-79.300963","127","128","488","138","83","204",
"1","0.26064","43.683816","-79.300931","127","128","486","138","82","201",
"1","0.26287","43.683821","-79.30091","127","128","485","139","81","199",
"1","0.2651","43.683827","-79.300888","127","128","484","139","79","196",
"1","0.26733","43.683832","-79.300856","127","128","481","139","77","194",
"1","0.26957","43.683843","-79.300835","127","128","479","139","75","194",
"1","0.27181","43.683848","-79.300813","127","128","476","139","73","193",
"1","0.27394","43.683859","-79.300792","127","128","473","139","71","193",
"1","0.27601","43.683864","-79.30077","127","128","469","140","70","194",
"1","0.27814","43.683875","-79.300738","127","128","469","140","70","195",
"1","0.28082","43.68388","-79.300717","127","128","469","141","71","196",
"1","0.2835","43.683886","-79.300684","127","128","469","141","73","197",
"1","0.28608","43.683896","-79.300663","127","128","465","141","75","197",
"1","0.28858","43.683902","-79.300641","127","128","460","140","77","199",
"1","0.29108","43.683912","-79.30062","127","129","462","140","79","201",
"1","0.29272","43.683918","-79.300588","127","129","468","140","81","202",
"1","0.29435","43.683929","-79.300566","127","129","475","139","82","201",
"1","0.29598","43.683934","-79.300545","127","129","482","139","83","200",
"1","0.2976","43.683939","-79.300513","127","129","488","139","83","200",
"1","0.29922","43.683945","-79.300491","127","129","491","139","84","200",
"1","0.30131","43.68395","-79.30047","127","129","488","138","84","200",
"1","0.30346","43.683955","-79.300448","127","129","485","138","85","200",
"1","0.30558","43.683961","-79.300416","127","129","486","138","86","199",
"1","0.3076","43.683961","-79.300395","127","129","488","138","86","199",
"1","0.30962","43.683961","-79.300362","127","129","487","139","85","199",
"1","0.31197","43.683961","-79.300341","127","129","483","139","84","198",
"1","0.31443","43.683966","-79.30032","127","129","479","139","84","194",
"1","0.31681","43.683966","-79.300287","127","129","477","139","83","191",
"1","0.31891","43.683971","-79.300266","127","129","476","139","83","188",
"1","0.32101","43.683977","-79.300244","127","130","474","139","82","185",
"1","0.32308","43.683977","-79.300212","127","130","475","139","82","184",
"1","0.32514","43.683982","-79.300191","127","130","475","139","83","187",
"1","0.32722","43.683988","-79.300159","127","130","474","139","83","190",
"1","0.32956","43.683993","-79.300137","127","130","471","139","84","192",
"1","0.3319","43.683998","-79.300105","127","130","469","139","84","194",
"1","0.33414","43.683998","-79.300084","127","130","469","140","85","196",
"1","0.3363","43.684004","-79.300062","127","130","469","140","86","196",
"1","0.33845","43.684009","-79.30003","127","130","471","141","86","196",
"1","0.34058","43.68402","-79.300008","127","130","472","141","85","196",
"1","0.34271","43.684025","-79.299987","127","130","474","141","84","196",
"1","0.34465","43.68403","-79.299955","127","130","479","141","84","197",
"1","0.3463","43.684036","-79.299933","127","130","484","142","83","195",
"1","0.34796","43.684041","-79.299912","127","130","486","142","82","193",
"1","0.34978","43.684047","-79.29988","127","130","485","142","82","192",
"1","0.35163","43.684047","-79.299858","127","130","484","142","81","192",
"1","0.35369","43.684052","-79.299837","127","130","481","142","81","193",
"1","0.35626","43.684052","-79.299805","127","130","477","142","82","195",
"1","0.35883","43.684057","-79.299783","127","130","474","142","82","197",
"1","0.3611","43.684057","-79.299751","127","130","473","142","82","199",
"1","0.36325","43.684057","-79.299729","127","130","473","142","82","200",
"1","0.3654","43.684063","-79.299697","127","130","474","142","82","201",
"1","0.3675","43.684063","-79.299676","127","130","476","142","82","200",
"1","0.36961","43.684068","-79.299644","127","130","476","142","82","199",
"1","0.37175","43.684073","-79.299622","127","130","474","142","82","198",
"1","0.37393","43.684079","-79.299601","127","130","472","143","82","197",
