"Duration","Distance","Latitude","Longitude","AltitudeOriginal","AltitudeCorrected","HeartRate","Cadence","PowerCalculated",
"0","0.0049","43.682786","-79.301918","128","126","104","74","177",
"1","0.0066","43.682813","-79.30194","128","126","105","74","177",
"1","0.0082","43.682823","-79.30195","128","126","106","75","177",
"1","0.0098","43.68284","-79.301961","128","126","107","77","176",
"1","0.0135","43.682856","-79.301972","128","126","107","79","176",
"1","0.0155","43.682877","-79.301993","128","126","107","81","176",
"1","0.0175","43.682899","-79.302004","128","126","107","83","176",
"1","0.0197","43.68292","-79.302015","129","126","107","85","178",
"1","0.0219","43.682941","-79.302025","129","126","107","87","183",
"1","0.0239","43.682963","-79.302036","129","126","107","87","188",
"1","0.0257","43.682984","-79.302047","129","126","107","87","187",
"1","0.0275","43.683006","-79.302058","129","126","107","86","185",
"1","0.0295","43.683022","-79.302058","129","126","107","86","185",
"1","0.0315","43.683043","-79.302068","129","126","107","85","185",
"1","0.0335","43.68306","-79.302079","129","126","107","85","186",
"1","0.0355","43.68307","-79.30209","129","126","107","84","184",
"1","0.0374","43.683081","-79.302111","129","126","107","84","184",
"1","0.0394","43.683092","-79.302133","129","126","107","85","184",
"1","0.0413","43.683097","-79.302154","129","126","107","85","185",
"1","0.0432","43.683102","-79.302176","129","126","107","85","185",
"1","0.0451","43.683102","-79.302197","130","126","107","85","180",
"1","0.0471","43.683102","-79.302197","130","126","107","86","181",
"1","0.0496","43.683102","-79.302251","130","126","107","86","182",
"1","0.0527","43.683097","-79.302283","130","126","107","86","182",
"1","0.0558","43.683097","-79.302304","130","126","107","86","182",
"1","0.0576","43.683092","-79.302326","130","126","107","85","181",
"1","0.0594","43.683086","-79.302358","130","126","107","85","178",
"1","0.0613","43.683081","-79.302379","130","126","107","85","176",
"1","0.0635","43.683076","-79.302401","130","126","107","84","175",
"1","0.0657","43.68307","-79.302433","130","126","107","84","173",
"1","0.0674","43.68307","-79.302455","130","126","107","84","171",
"1","0.0692","43.683065","-79.302476","130","126","107","84","168",
"1","0.0709","43.68306","-79.302498","130","126","107","84","165",
"1","0.0727","43.683054","-79.302519","130","126","107","84","166",
"1","0.0744","43.683049","-79.30254","130","126","107","84","167",
"1","0.0766","43.683043","-79.302562","130","126","107","84","169",
